2022-07-21 15:42:09.337 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-07-21 15:42:10.146 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-07-21 15:42:10.174 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-07-21 15:42:10.231 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-07-21 15:42:10.576 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2022-07-21 15:42:10.605 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path ''
2022-07-21 15:42:10.610 [main] INFO  com.atguigu.eduservice.EduApplication - Started EduApplication in 11.692 seconds (JVM running for 14.511)
2022-07-21 15:45:09.855 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2022-07-21 16:36:01.354 [main] INFO  com.atguigu.eduservice.EduApplication - Starting EduApplication on DESKTOP-LMLN203 with PID 16708 (D:\Java_project\guli-parent\service\service-edu\target\classes started by admin in D:\Java_project\guli-parent)
2022-07-21 16:36:01.379 [main] INFO  com.atguigu.eduservice.EduApplication - The following profiles are active: dev
2022-07-21 16:36:02.566 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-07-21 16:36:02.570 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-07-21 16:36:02.605 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15ms. Found 0 repository interfaces.
2022-07-21 16:36:02.960 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
